# time, roll_desired, roll, steer_desired, steer 
0.001,0.15,-1.6713763579954643e-06,0.0013192191180087633,3.6684931536967724e-08
0.002,0.15,-3.3581973408433915e-06,0.002314152732436669,-8.250839728040933e-08
0.003,0.15,-4.282516551871365e-06,0.0031109544514023833,5.338255099141247e-08
0.004,0.15,-6.816340830524932e-06,0.004437830087994599,-2.1560513955975834e-08
0.005,0.15,-7.549728417711262e-06,0.005009271206624211,8.652027845712697e-09
0.006,0.15,-1.0112863083376338e-05,0.006385023083099823,3.4217064737163128e-09
0.007,0.15,-1.0785459799716228e-05,0.006937283858482965,-1.969358765831866e-06
0.008,0.15,-1.3314065102176034e-05,0.008319136636492143,-3.741975601509392e-06
0.009000000000000001,0.15,-1.3964549864877853e-05,0.008873867072617392,-5.337332594053097e-06
0.010000000000000002,0.15,-1.648994797377698e-05,0.010260325098630145,-6.773152457897963e-06
0.011000000000000003,0.15,-1.711957981974867e-05,0.010811420597201169,-8.065391791489024e-06
0.012000000000000004,0.15,-1.950907567079516e-05,0.012175297509133286,-1.8330609570425995e-05
0.013000000000000005,0.15,-1.9998791594629724e-05,0.012725182516488073,-2.7569320388906865e-05
0.014000000000000005,0.15,-2.2414594889874313e-05,0.014123273488377636,-3.5884158637962166e-05
0.015000000000000006,0.15,-2.2910138211291406e-05,0.014668993380868668,-4.336751450073111e-05
0.016000000000000007,0.15,-2.5349982840096246e-05,0.016071634322515602,-5.010253319633972e-05
0.017000000000000008,0.15,-2.554258164420034e-05,0.016551940537196313,-7.662459777231569e-05
0.01800000000000001,0.15,-2.7729170982462006e-05,0.017964633672296865,-0.00010049448447235624
0.01900000000000001,0.15,-2.7983250259787807e-05,0.018507009868035655,-0.00012197738399017973
0.02000000000000001,0.15,-3.0244066207090605e-05,0.019923265010777354,-0.000141311991846773
0.02100000000000001,0.15,-3.05484790345228e-05,0.020460903826488724,-0.0001587131402316757
0.022000000000000013,0.15,-3.2340121858011995e-05,0.02177602948457535,-0.00020942544182827937
0.023000000000000013,0.15,-3.220595759380214e-05,0.022318244774170465,-0.0002550665664647424
0.024000000000000014,0.15,-3.415709342146466e-05,0.0237507781489916,-0.0002961435769748888
0.025000000000000015,0.15,-3.414848853143793e-05,0.024286403034526262,-0.000333112887631165
0.026000000000000016,0.15,-3.623468789226208e-05,0.02572207765227267,-0.0003663852651845238
0.027000000000000017,0.15,-3.552591830882108e-05,0.026095900416515265,-0.00044829953807904224
0.028000000000000018,0.15,-3.700440462048793e-05,0.027548661704593424,-0.0005220224587124634
0.02900000000000002,0.15,-3.653570721015108e-05,0.028084668375930197,-0.0005883730886955313
0.03000000000000002,0.15,-3.825048277293858e-05,0.029538185364043085,-0.0006480886534249276
0.03100000000000002,0.15,-3.797928976519865e-05,0.030066918891118004,-0.0007018326625460242
0.03200000000000002,0.15,-3.878425828495454e-05,0.0313106822590099,-0.000820755117011748
0.03300000000000002,0.15,-3.711350813302256e-05,0.03172607303956342,-0.0009277833333765521
0.03400000000000002,0.15,-3.752976268656223e-05,0.03317004651303701,-0.0010241101985421532
0.035000000000000024,0.15,-3.579720515624575e-05,0.03366887636041862,-0.001110804937563744
0.036000000000000025,0.15,-3.623632231714552e-05,0.03512789804000138,-0.0011888304066268345
0.037000000000000026,0.15,-3.483623762289522e-05,0.03554481046242927,-0.001349180600254563
0.03800000000000003,0.15,-3.5428798094361174e-05,0.036967946385225624,-0.0014934963506145166
0.03900000000000003,0.15,-3.375193006875335e-05,0.037412801205933585,-0.0016233805969510897
0.04000000000000003,0.15,-3.504710542933209e-05,0.039031877286252646,-0.0017402764424133224
0.04100000000000003,0.15,-3.378920454439827e-05,0.03942071346883811,-0.0018454827142896783
0.04200000000000003,0.15,-3.3467076323445444e-05,0.04071443826050685,-0.002050376465023172
0.04300000000000003,0.15,-3.0756019419728095e-05,0.04112391492940676,-0.002234781028658137
0.04400000000000003,0.15,-3.1219892114496866e-05,0.04277912999054966,-0.0024007451418622985
0.04500000000000003,0.15,-2.9168491278020116e-05,0.04316939358238847,-0.0025501128474162277
0.046000000000000034,0.15,-3.024433699100985e-05,0.044821446910919265,-0.00268454377922968
0.047000000000000035,0.15,-2.6359221363881455e-05,0.04480356321785717,-0.0029360326194552686
0.048000000000000036,0.15,-2.5852938608696126e-05,0.046494199377175006,-0.0031623727919774755
0.04900000000000004,0.15,-2.288958201358225e-05,0.046889674271444436,-0.0033660789584081725
0.05000000000000004,0.15,-2.321820079896399e-05,0.04857072597273142,-0.0035494145073389515
0.05100000000000004,0.15,-2.096631085588143e-05,0.04894783697626142,-0.0037144165021770017
0.05200000000000004,0.15,-1.9324809548454697e-05,0.05017044614261096,-0.004013678456890724
0.05300000000000004,0.15,-1.5317004177363133e-05,0.05057771524821146,-0.004283014471396896
0.05400000000000004,0.15,-1.4784185247582552e-05,0.052291291458223,-0.004525416892624625
0.05500000000000004,0.15,-1.1717994679151421e-05,0.052672746063246345,-0.0047435790755760805
0.05600000000000004,0.15,-1.2049061177555844e-05,0.054378588240600184,-0.004939925036153841
0.057000000000000044,0.15,-6.836171740015573e-06,0.054226233256262725,-0.005287325890485426
0.058000000000000045,0.15,-5.317053376332025e-06,0.05597987310829245,-0.005599986944045446
0.059000000000000045,0.15,-1.3264032916468122e-06,0.05636869631262209,-0.00588138190664736
0.060000000000000046,0.15,-9.06579495003927e-07,0.0581066682240196,-0.006134637372374602
0.06100000000000005,0.15,2.1399883831731612e-06,0.058471797099256206,-0.00636256729182506
0.06200000000000005,0.15,4.800480990019467e-06,0.059628624547871274,-0.006757884107993054
