# time, goalRoll, roll, rollrate, goalSteer, steer, speed, lean, goalLean, lean_sim, leanrate 
0.001,0.15,0.010001456344239072,0.0014563442174590371,-0.024581928527696126,-1.0945112585209447e-08,0.0028204330122459406,-0.010000000319719362,0.15313340841827283,0.0,0.0
0.002,0.15,0.009592082582538639,-0.40937372778933745,0.06673573773813543,6.144316678551812e-08,0.004498029558524699,-0.007137690528279694,-0.5386773861641749,8.100757305326633e-05,2.8623097914396687
0.003,0.15,0.009728071045773707,0.1359883766772528,-0.053629440137608786,-4.3396617169559745e-08,0.004894922581128703,-0.0074701437418514755,0.04958868076715364,-0.00012485121836068624,-0.3324532135717817
0.004,0.15,0.009304476041008876,-0.4235949363867762,0.07045002268697063,5.279990557794504e-08,0.004203942942546614,-0.004565715559549143,-0.5466286064979433,-0.0002996767991517808,2.9044281823023326
0.005,0.15,0.009435580260565539,0.13110414942019244,-0.05195577476740087,-4.9103083870253756e-08,0.004228622291163439,-0.004881377297596233,0.036425039334039205,-0.0007594893953953409,-0.3156617380470905
0.006,0.15,0.009653494488867166,0.21791422458231494,-0.07163733400359319,-5.4231633429302825e-08,0.0014387047708640745,-0.006423345192520901,0.5076829254757641,-0.0011890556862274282,-1.5419678949246673
0.007,0.15,0.009399814756759587,-0.25367968878439134,0.03267271296319334,4.809262319407336e-08,0.004258809831382816,-0.0049538224790610826,-0.13545870818143058,-0.0013395486743356842,1.469522713459818
0.008,0.15,0.009707467691400809,0.30765290656814326,-0.09162128142880617,-5.0633796559592525e-08,0.004036522982792665,-0.00672117265943652,0.45135370223082083,-0.0015575293590967033,-1.7673501803754377
0.009000000000000001,0.15,0.009462705846416055,-0.24476182332990076,0.03044739911971741,4.9670100184388134e-08,0.004070552467181439,-0.0052702716967378575,-0.14115891696635907,-0.0015309064465971528,1.4509009626986626
0.010000000000000002,0.15,0.009775531318162323,0.3128254580439009,-0.09303553850579026,-4.9737050249516246e-08,0.00406871012280383,-0.007047206614831466,0.44837029116717364,-0.0015787590786500458,-1.776934918093609
0.011000000000000003,0.15,0.00954993323760584,-0.2255980527748628,0.025908191616506333,4.9763292826414896e-08,0.002931520134052874,-0.005633594253623606,-0.1566639640907368,-0.0013874880525856816,1.4136123612078604
0.012000000000000004,0.15,0.00986524665494777,0.31531339093781435,-0.09391260290084881,-4.9490802433883845e-08,0.003948390132501702,-0.007414166611932913,0.4479531755072756,-0.0012827575159449797,-1.780572358309307
0.013000000000000005,0.15,0.009643524731944714,-0.22172187051335926,0.024715789228631494,4.97603790617904e-08,0.0029301539986460005,-0.006006963279949921,-0.15827800585125607,-0.0009427899730777302,1.4072033319829924
0.014000000000000005,0.15,0.009963532034638074,0.32000726364254584,-0.09529682644398646,-4.9433649665107074e-08,0.004009000223776161,-0.007795653459678745,0.4457189252398852,-0.0006938720128959839,-1.7886901797288246
0.015000000000000006,0.15,0.00974572948631336,-0.2178024796667231,0.023491874019977897,4.973137852385626e-08,0.0029293461291175753,-0.0063950828082614646,-0.15970128012882967,-0.00021452679605169644,1.4005706514172807
0.016000000000000007,0.15,0.01006995651871604,0.32422698545670636,-0.09659764347339962,-4.943132568508306e-08,0.0040304510830043525,-0.008191091376912717,0.4441442214315688,0.0001694249882921328,-1.7960085686512528
0.017000000000000008,0.15,0.009856123325962026,-0.21383311413091557,0.022235889247051333,4.970963020417114e-08,0.00292903344561189,-0.006797419993393013,-0.1609318888366016,0.0007794085489145474,1.3936713835197045
0.01800000000000001,0.15,0.010184628365322,0.3285049879396011,-0.09793254624823233,-4.9442864723459434e-08,0.004051431843858508,-0.008601038108916888,0.44276057353045717,0.0012898172113257084,-1.803618115523875
0.01900000000000001,0.15,0.009974832067907051,-0.20979621269577087,0.02094357090529982,4.9689446525235825e-08,0.002928741259696697,-0.007214580748730805,-0.16197519033368257,0.0020220245045942335,1.386457360186083
0.02000000000000001,0.15,0.01030769961314083,0.33286749141123184,-0.09930776811546274,-4.9456524374640943e-08,0.00407349544700763,-0.009026161058809913,0.4415532291430821,0.002650636503468134,-1.8115803100791084
0.02100000000000001,0.15,0.01010201336763129,-0.20568615698610487,0.019613203568552156,4.9670928538098557e-08,0.0029284586938478074,-0.0076472515808222626,-0.1628276254912172,0.0034969698978742905,1.3789094779876505
0.022000000000000013,0.15,0.010435883619741383,0.33387018965186,-0.09995768682690104,-4.9434188334771937e-08,0.0038380852979670458,-0.009460225812641183,0.44358135985464675,0.004235851913248276,-1.8129742318189201
0.023000000000000013,0.15,0.010234349680746341,-0.20153384807320648,0.018259554376833263,4.963140295103545e-08,0.002929934792314714,-0.008089139502966136,-0.16352333765068505,0.00519015341596966,1.3710863096750465
0.024000000000000014,0.15,0.010566506355021392,0.3321565974334168,-0.10001744852322861,-4.9390586753472106e-08,0.0033927787078685137,-0.009898242567881577,0.44821555159570436,0.006033256547354191,-1.8091030649154405
0.025000000000000015,0.15,0.010369182646902854,-0.19732361570661658,0.016885580481873556,4.9571000615745235e-08,0.0029327409184734194,-0.008535294040764472,-0.164123378813394,0.007090882740797456,1.3629485271171045
0.026000000000000016,0.15,0.010420434711626375,0.05125202340792707,-0.0379855286412844,2.6475676762061084e-08,0.001354071013456255,-0.008350211888536378,-0.040667890035236604,0.008033611187429358,0.18508215222809432
0.027000000000000017,0.15,0.010029028128223554,-0.391406511200414,0.06028838454124176,6.281134279362277e-08,0.00224949938742751,-0.0052111373501727955,-0.7188189046989406,0.008928893785641935,3.1390745383635825
