# time, steer_desired, steer 
0.001,0.1,-2.3710904351048612e-08
0.002,0.1,2.2530362757900405e-08
0.003,0.1,-6.891308563571926e-09
0.004,0.1,2.8284487187866296e-09
0.005,0.1,6.233264118114028e-10
0.006,0.1,4.44756496953414e-08
0.007,0.1,7.460269824398869e-05
0.008,0.1,0.00014174833320110272
0.009000000000000001,0.1,0.00020217899853928163
0.010000000000000002,0.1,0.0002565663060036122
0.011000000000000003,0.1,0.0003055146867592986
0.012000000000000004,0.1,0.0005284102007593651
0.013000000000000005,0.1,0.0007290153347855239
0.014000000000000005,0.1,0.000909559047819794
0.015000000000000006,0.1,0.0010720477948636285
0.016000000000000007,0.1,0.0012182873227663553
0.017000000000000008,0.1,0.0016091845051836643
0.01800000000000001,0.1,0.0019609908592825736
0.01900000000000001,0.1,0.0022776154058785675
0.02000000000000001,0.1,0.002562576817307642
0.02100000000000001,0.1,0.0028190417970506178
0.022000000000000013,0.1,0.0033697549665952656
0.023000000000000013,0.1,0.003865395692699705
0.024000000000000014,0.1,0.004311471175183662
0.025000000000000015,0.1,0.004712938566436645
0.026000000000000016,0.1,0.005074259169811985
0.027000000000000017,0.1,0.0057635137309039195
0.028000000000000018,0.1,0.006383841897912395
0.02900000000000002,0.1,0.006942136273109751
0.03000000000000002,0.1,0.007444600956470652
0.03100000000000002,0.1,0.007896819479847828
0.03200000000000002,0.1,0.008698492162269221
0.03300000000000002,0.1,0.00941999694812013
0.03400000000000002,0.1,0.010069350587249276
0.035000000000000024,0.1,0.010653768971193507
0.036000000000000025,0.1,0.0111797462270638
0.037000000000000026,0.1,0.012067296450731435
0.03800000000000003,0.1,0.012866091383979388
0.03900000000000003,0.1,0.013585006506693849
0.04000000000000003,0.1,0.014232030604533695
0.04100000000000003,0.1,0.014814353398270131
0.04200000000000003,0.1,0.0157630662993989
0.04300000000000003,0.1,0.01661690800423868
0.04400000000000003,0.1,0.01738536557065229
0.04500000000000003,0.1,0.018076978224032224
0.046000000000000034,0.1,0.018699431074682343
0.047000000000000035,0.1,0.019687420936095847
0.048000000000000036,0.1,0.02057661223883088
0.04900000000000004,0.1,0.02137688476376442
0.05000000000000004,0.1,0.022097131192225825
0.05100000000000004,0.1,0.02274535474260215
0.05200000000000004,0.1,0.02375388198249822
0.05300000000000004,0.1,0.024661557215769132
0.05400000000000004,0.1,0.025478465555881926
0.05500000000000004,0.1,0.026213684477243735
0.05600000000000004,0.1,0.026875383512748485
0.057000000000000044,0.1,0.027888805729632867
0.058000000000000045,0.1,0.028800886682358424
0.059000000000000045,0.1,0.029621760399939093
0.060000000000000046,0.1,0.030360548365331898
0.06100000000000005,0.1,0.031025459722209027
