# time, roll_desired, roll, lean_desired, lean 
0.001,0.15,-1.6713763579954643e-06,0.0033314664924336485,-7.427367814116792e-07
0.002,0.15,-3.3553605303485137e-06,0.00241638981157893,9.893535327185433e-07
0.003,0.15,-5.245113518273924e-06,0.003559650601634088,1.5559561487965872e-06
0.004,0.15,-8.140710248687983e-06,0.003970037560004981,4.683963825475216e-06
0.005,0.15,-1.1705961964545197e-05,0.004271076409639787,9.425454306522337e-06
0.006,0.15,-1.6051669412331715e-05,0.004636580785574872,1.6014005628181175e-05
0.007,0.15,-2.1221805637883227e-05,0.005009626668217276,2.455229040686957e-05
0.008,0.15,-2.7260012856664653e-05,0.00538915230915635,3.51419786009545e-05
0.009000000000000001,0.15,-3.4208952018268847e-05,0.005774128394702739,4.7881635591886195e-05
0.010000000000000002,0.15,-4.211047962548783e-05,0.006163397843207397,6.286753887855238e-05
0.011000000000000003,0.15,-5.100539208426957e-05,0.006555554672704253,8.019327505104015e-05
0.012000000000000004,0.15,-6.093316158909081e-05,0.006949012615124305,9.9949207879121e-05
0.013000000000000005,0.15,-7.193164633871549e-05,0.0073420286077738525,0.00012222183397524205
0.014000000000000005,0.15,-8.403677981047002e-05,0.007732707128959394,0.00014709307381440497
0.015000000000000006,0.15,-9.728224322553e-05,0.008119002999429897,0.00017463951440689372
0.016000000000000007,0.15,-0.00011169912070281607,0.008498720563171858,0.00020493160857150997
0.017000000000000008,0.15,-0.0001273155382006279,0.008869513042347895,0.00023803283469410634
0.01800000000000001,0.15,-0.00014415628602999786,0.009228880803657608,0.0002739988187799293
0.01900000000000001,0.15,-0.00016224242667808305,0.009574172207016281,0.0003128764206375957
0.02000000000000001,0.15,-0.00018159088736449842,0.009902583037307677,0.0003547027853919553
0.02100000000000001,0.15,-0.00020221403881583397,0.010211157652977875,0.00039950436285310457
0.022000000000000013,0.15,-0.00022411926142226697,0.010496791676232794,0.00044729589642130346
0.023000000000000013,0.15,-0.00024730849899530207,0.010756233994335299,0.0004980793840554873
0.024000000000000014,0.15,-0.00027177780193950055,0.010986090625686354,0.0005518430145484588
0.025000000000000015,0.15,-0.00029751686147844316,0.011182830350148491,0.0006085600818529753
0.026000000000000016,0.15,-0.0003245085355854949,0.011342789789843322,0.0006681878810762436
0.027000000000000017,0.15,-0.00035272836895660926,0.011462180597448517,0.000730666590538861
0.028000000000000018,0.15,-0.00038214410916643236,0.011537098587729305,0.000795918143810991
0.02900000000000002,0.15,-0.0004127152201739663,0.01156353250109824,0.0008638450965808036
0.03000000000000002,0.15,-0.0004443923960770317,0.011537375088299821,0.000934329494020199
0.03100000000000002,0.15,-0.00047711707779299106,0.011454436276526196,0.0010072317438602687
0.03200000000000002,0.15,-0.0005108209744244029,0.011310456194217729,0.001082389501376803
0.03300000000000002,0.15,-0.0005447228743401212,0.00964373527094168,0.0011596149235376257
0.03400000000000002,0.15,-0.0005793223344121126,0.00924473735613459,0.0012387011672231967
0.035000000000000024,0.15,-0.0006141942341266045,0.008593528485058628,0.0013186370096499784
0.036000000000000025,0.15,-0.0006492211061634495,0.00787487577414555,0.0013991307771430293
0.037000000000000026,0.15,-0.0006808245672884947,0.0013129462058317845,0.001479770184340538
0.03800000000000003,0.15,-0.0007127119122570566,0.0011648397736511648,0.0015601255103154957
0.03900000000000003,0.15,-0.0007430692008643197,-0.00040000569216625675,0.0016366967205136158
0.04000000000000003,0.15,-0.0007719173128466849,-0.0019157428105568142,0.001709536386104165
0.04100000000000003,0.15,-0.0007989585606228529,-0.003566469020845245,0.001777947971087219
0.04200000000000003,0.15,-0.0008239202600946387,-0.005331805336776782,0.0018412948405895511
0.04300000000000003,0.15,-0.0008465127138750014,-0.007215190216407721,0.001898900554760908
0.04400000000000003,0.15,-0.0008664345452609071,-0.009216765805779258,0.0019500618352093619
0.04500000000000003,0.15,-0.0008833725404167499,-0.011336537943244091,0.0019940483424961304
0.046000000000000034,0.15,-0.0008970022616617331,-0.013573927251848986,0.0020301042186206906
0.047000000000000035,0.15,-0.0009069886852464861,-0.01592775479248212,0.002057449644388661
0.048000000000000036,0.15,-0.0009129869553311235,-0.018396182868470744,0.0020752826480527446
0.04900000000000004,0.15,-0.0009146432483348747,-0.02097666519863703,0.002082781160546805
0.05000000000000004,0.15,-0.0009115957538174735,-0.023665898136399507,0.0020791053363604386
0.05100000000000004,0.15,-0.0009034757766088054,-0.0264597728990422,0.002063400153119428
0.05200000000000004,0.15,-0.0008899089648877053,-0.02935332838875096,0.002034798301626868
0.05300000000000004,0.15,-0.0008705166686520442,-0.03234070460431798,0.0019924233769217105
0.05400000000000004,0.15,-0.000844917432731291,-0.03541509675217922,0.0019353933798964286
0.05500000000000004,0.15,-0.000812728628181416,-0.03856871030445808,0.0018628245382050503
0.05600000000000004,0.15,-0.0007735682255096119,-0.041792717241466396,0.0017738354541363146
0.057000000000000044,0.15,-0.000727056712783913,-0.04507721379317088,0.0016675515862118752
0.058000000000000045,0.15,-0.0006728191612019336,-0.0484111799934126,0.0015431100700873126
0.059000000000000045,0.15,-0.0006104874401898661,-0.05178244139566818,0.0013996648831542126
0.060000000000000046,0.15,-0.0005397025835295347,-0.05517763331150216,0.0012363923558755554
0.06100000000000005,0.15,-0.0004601173073940825,-0.05858216799534656,0.0010524970314984296
0.06200000000000005,0.15,-0.00037139868046792923,-0.061980205272275324,0.0008472178742542093
0.06300000000000004,0.15,-0.0002732309455308232,-0.0653546276068866,0.0006198348251260379
0.06400000000000004,0.15,-0.00016531849070656866,-0.06868702434503166,0.0003696757077469039
