# time, roll_desired, roll, steer_desired, steer 
0.001,0.15,-1.6713763579960835e-06,0.001192226783291166,3.6684929760610885e-08
0.002,0.15,-3.358463032384127e-06,0.0018668152713463147,-9.022368154636874e-08
0.003,0.15,-4.287111516721854e-06,0.0022285344374352463,-5.795932330980488e-07
0.004,0.15,-6.809513390486449e-06,0.0034233882736519824,-2.2175669484801327e-06
0.005,0.15,-7.5161130685733035e-06,0.003418641115701095,-4.9144901056014986e-06
0.006,0.15,-1.0028030225651219e-05,0.004687311766776163,-9.295099725049582e-06
0.007,0.15,-1.0654614240078714e-05,0.004657668878017153,-1.5279986198764776e-05
0.008,0.15,-1.3102018695875088e-05,0.005931514238570769,-2.346422954016344e-05
0.009000000000000001,0.15,-1.3638100861492124e-05,0.005892205740444888,-3.3727824714252745e-05
0.010000000000000002,0.15,-1.6007482008703687e-05,0.007170148145584317,-4.6644649157683136e-05
0.011000000000000003,0.15,-1.6441668427526224e-05,0.007121908248474505,-6.206643827597499e-05
0.012000000000000004,0.15,-1.8722661570150778e-05,0.008404308360072756,-8.05471546366425e-05
0.013000000000000005,0.15,-1.904519428474207e-05,0.008347344905391402,-0.00010191241818949845
0.014000000000000005,0.15,-2.1228900902447838e-05,0.009634504120985982,-0.00012669814544880031
0.015000000000000006,0.15,-2.1431315758712558e-05,0.009568963067330473,-0.000154705566907539
0.016000000000000007,0.15,-2.3510043666910596e-05,0.010861150160901015,-0.0001864542724518027
0.017000000000000008,0.15,-2.3585012037888636e-05,0.010787150468420862,-0.00022172268366686454
0.01800000000000001,0.15,-2.555214826122167e-05,0.01208461232145982,-0.0002610156581616155
0.01900000000000001,0.15,-2.5493364779944584e-05,0.012002251229879718,-0.0003040902710766956
0.02000000000000001,0.15,-2.734326969927163e-05,0.013305215241701009,-0.0003514381304617124
0.02100000000000001,0.15,-2.7145350088268408e-05,0.013214569768080208,-0.00040279631945253254
0.022000000000000013,0.15,-2.8873257545421184e-05,0.014523244870159116,-0.0004586445758287441
0.023000000000000013,0.15,-2.853164085665592e-05,0.01442437277925066,-0.0005187012445982436
0.024000000000000014,0.15,-3.013356216579403e-05,0.015738950275370738,-0.0005834354761044964
0.025000000000000015,0.15,-2.9644416837103228e-05,0.01563189101205783,-0.0006525480372781991
0.026000000000000016,0.15,-3.1117048696768765e-05,0.016952545442183657,-0.0007264986838677912
0.027000000000000017,0.15,-3.047718262874193e-05,0.01683732109669946,-0.000804971677266184
0.028000000000000018,0.15,-3.181781922566411e-05,0.01816421115454617,-0.0008884184875603457
0.02900000000000002,0.15,-3.102459419367103e-05,0.018040827469025918,-0.0009765078615862256
0.03000000000000002,0.15,-3.2231043810985964e-05,0.01937409697304356,-0.0010696840145398127
0.03100000000000002,0.15,-3.128229450430096e-05,0.019242544382703508,-0.0011676010937371072
0.03200000000000002,0.15,-3.2352800920207114e-05,0.020582323298693833,-0.0012706970175127919
0.03300000000000002,0.15,-3.0334859218945875e-05,0.020120086932272015,-0.0013786100387539935
0.03400000000000002,0.15,-3.0139200715211488e-05,0.021421130475673168,-0.0014917781151423655
0.035000000000000024,0.15,-2.7512883802117865e-05,0.021221300527947552,-0.001609654077386341
0.036000000000000025,0.15,-2.674868227653309e-05,0.022542462814124673,-0.0017326500825872702
0.037000000000000026,0.15,-2.4960040569060408e-05,0.022457330421958792,-0.0018603622606030376
0.03800000000000003,0.15,-2.5271437068559258e-05,0.02384249977878209,-0.0019932089904525743
0.03900000000000003,0.15,-2.2945850702688636e-05,0.023535831210637473,-0.002130840165678874
